"name","phone","website","rating","reviews","query","url"
"Elite Roofing Company LLC",,,"5.0","13","Roofing Contractor in Miami, FL","https://www.google.com/maps/place/Elite+Roofing+Company+LLC/data=!4m7!3m6!1s0x88d9b1bd7cc654ed:0x4ec6db747de24f4c!8m2!3d25.8076318!4d-80.2349532!16s%2Fg%2F11sm9xqwrr!19sChIJ7VTGfL2x2YgRTE_ifXTbxk4?authuser=0&hl=en&rclk=1"
"Citrus County Roofing.",,,"4.9","54","Roofing Contractor in Miami, FL","https://www.google.com/maps/place/Citrus+County+Roofing./data=!4m7!3m6!1s0x88d9b74f68ffdf45:0x77fbe5aecf34f307!8m2!3d25.7965967!4d-80.1964248!16s%2Fg%2F11y4r14344!19sChIJRd__aE-32YgRB_M0z67l-3c?authuser=0&hl=en&rclk=1"
"MRT Construction",,,"5.0","105","Roofing Contractor in Miami, FL","https://www.google.com/maps/place/MRT+Construction/data=!4m7!3m6!1s0x88d9bd1d8c081687:0x42621f181dd177ed!8m2!3d25.833876!4d-80.2388966!16s%2Fg%2F11lt2zcsdf!19sChIJhxYIjB292YgR7XfRHRgfYkI?authuser=0&hl=en&rclk=1"
"Roofing Royale",,,"5.0","8","Roofing Contractor in Miami, FL","https://www.google.com/maps/place/Roofing+Royale/data=!4m7!3m6!1s0x88d9b6ec3b807a2b:0x10a394eb9799ae89!8m2!3d25.7742481!4d-80.2145194!16s%2Fg%2F11srgjcqmy!19sChIJK3qAO-y22YgRia6Zl-uUoxA?authuser=0&hl=en&rclk=1"
"Florida Standard Roofing",,,"4.7","25","Roofing Contractor in Miami, FL","https://www.google.com/maps/place/Florida+Standard+Roofing/data=!4m7!3m6!1s0x88d9b84d83645659:0x531b2ff6db0ac8e0!8m2!3d25.7616257!4d-80.3096181!16s%2Fg%2F11bwqbnc0v!19sChIJWVZkg0242YgR4MgK2_YvG1M?authuser=0&hl=en&rclk=1"
"Sewer Solutions /Pipe lining /Septic",,,"4.8","83","Water Damage Restoration in Miami, FL","https://www.google.com/maps/place/Sewer+Solutions+%2FPipe+lining+%2FSeptic/data=!4m7!3m6!1s0x88d9b79752831e67:0xdc3c1460285f2250!8m2!3d25.761332!4d-80.193774!16s%2Fg%2F11ry342ptf!19sChIJZx6DUpe32YgRUCJfKGAUPNw?authuser=0&hl=en&rclk=1"
"Miami Beach Water Damage Restoration",,,"5.0","34","Water Damage Restoration in Miami, FL","https://www.google.com/maps/place/Miami+Beach+Water+Damage+Restoration/data=!4m7!3m6!1s0x88d9b525d31f4959:0x83c66930a0f50598!8m2!3d25.790296!4d-80.1374502!16s%2Fg%2F11mrwz6khf!19sChIJWUkf0yW12YgRmAX1oDBpxoM?authuser=0&hl=en&rclk=1"
"Water Mold Fire Restoration of Miami",,,"5.0","114","Water Damage Restoration in Miami, FL","https://www.google.com/maps/place/Water+Mold+Fire+Restoration+of+Miami/data=!4m7!3m6!1s0x88d9bf157b37d9bb:0x15a28cd722283290!8m2!3d25.5584269!4d-80.468195!16s%2Fg%2F1hdywdjh_!19sChIJu9k3exW_2YgRkDIoIteMohU?authuser=0&hl=en&rclk=1"
"SERVPRO of South Miami",,,"4.9","97","Water Damage Restoration in Miami, FL","https://www.google.com/maps/place/SERVPRO+of+South+Miami/data=!4m7!3m6!1s0x88d9c19d75f85dc1:0x79ebc7da70aa3e89!8m2!3d25.7312315!4d-80.2367929!16s%2Fg%2F1thhl9r6!19sChIJwV34dZ3B2YgRiT6qcNrH63k?authuser=0&hl=en&rclk=1"
"Revive",,,"4.9","126","Water Damage Restoration in Miami, FL","https://www.google.com/maps/place/Revive/data=!4m7!3m6!1s0x88d9b7f57d262d2f:0xbbe3413686507a93!8m2!3d25.7649598!4d-80.1914436!16s%2Fg%2F11jzxzt4w9!19sChIJLy0mffW32YgRk3pQhjZB47s?authuser=0&hl=en&rclk=1"
